Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP_1uF_35V_X7R_0603","CAP_SMD_0603",127.253900,-101.219000,180.000000,top
"C2","CAP_1nF_50V_C0G_0402","CAP_SMD_0603",126.669800,-102.768400,180.000000,top
"C3","CAP_100pF_10V_NP0_0402","CAP_SMD_0603",127.228600,-99.720400,180.000000,top
"C4","CAP_33nF_25V_X7R_0603","CAP_SMD_0603",129.057400,-96.951800,180.000000,top
"C5","CAP_33nF_25V_X7R_0603","CAP_SMD_0603",130.632200,-106.476800,180.000000,top
"C6","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",124.688600,-93.395800,270.000000,top
"C7","CAP_47nF_50V_X7R_0402","CAP_SMD_0402",135.379600,-98.069400,0.000000,top
"C8","CAP_10uF_35V_X5R_0805","CAP_SMD_0603",137.922000,-101.295200,270.000000,top
"C9","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",129.209800,-111.302800,90.000000,top
"C10","CAP_47nF_50V_X7R_0402","CAP_SMD_0402",135.328800,-105.511600,0.000000,top
"C12","CAP_AE_SMD_220uF_25V_8mm","CP_Elec_10x7.9",152.552400,-95.345000,90.000000,top
"C13","CAP_AE_SMD_220uF_25V_8mm","CP_Elec_10x7.9",152.552400,-109.175800,270.000000,top
"C14","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",144.526000,-103.401100,270.000000,top
"C15","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",144.551400,-99.796600,90.000000,top
"C16","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",142.722600,-103.731200,270.000000,top
"C17","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",105.562400,-94.208600,270.000000,top
"C18","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",104.317800,-124.561600,270.000000,top
"C19","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",107.238800,-93.345000,270.000000,top
"C20","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",105.968800,-125.198900,270.000000,top
"C21","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",109.347000,-93.317300,270.000000,top
"C22","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",107.950000,-125.194300,270.000000,top
"C23","CAP_AE_SMD_220uF_25V_8mm","CP_Elec_10x7.9",115.773200,-86.182200,90.000000,top
"C24","CAP_AE_SMD_220uF_25V_8mm","CP_Elec_10x7.9",115.722400,-117.475000,270.000000,top
"C25","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",112.852200,-97.843100,270.000000,top
"C26","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",110.896400,-97.840800,270.000000,top
"C27","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",114.858800,-97.840800,270.000000,top
"C28","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",119.634000,-109.194600,0.000000,top
"C29","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",115.824000,-107.162600,180.000000,top
"C30","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",119.456200,-107.162600,0.000000,top
"C31","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",175.922700,-102.463600,0.000000,top
"C32","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",176.019700,-115.620800,0.000000,top
"C33","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",175.892700,-104.419400,0.000000,top
"C34","CAP_10uF_35V_X5R_0805","CAP_SMD_0805",175.994300,-113.588800,0.000000,top
"C35","CAP_4.7uF_16V_X6S_0603","CAP_SMD_0603",171.246700,-109.753400,180.000000,top
"C36","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",175.234600,-106.045000,0.000000,top
"C37","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",175.262400,-111.988600,0.000000,top
"C38","CAP_47nF_50V_X7R_0402","CAP_SMD_0402",171.729400,-107.619800,180.000000,top
"C39","CAP_1nF_50V_C0G_0402","CAP_SMD_0402",172.237400,-106.045000,90.000000,top
"C40","CAP_100nF_50V_X7R_0402","CAP_SMD_0402",172.567600,-112.674400,180.000000,top
"C41","CAP_100pF_10V_NP0_0402","CAP_SMD_0402",169.263200,-103.860600,0.000000,top
"C42","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",181.180500,-105.130600,180.000000,top
"C43","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",181.129700,-103.098600,180.000000,top
"C44","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",181.231300,-112.572800,180.000000,top
"C45","CAP_AE_SMD_100uF_10V_6mm","CP_Elec_6.3x5.4",181.406800,-119.202200,180.000000,top
"C46","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",170.888900,-98.399600,0.000000,top
"C47","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",170.893500,-96.443800,0.000000,top
"C48","CAP_3.3nF_50V_X7R_0402","CAP_SMD_0402",168.198800,-90.652600,270.000000,top
"C49","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",170.914300,-94.488000,0.000000,top
"C50","CAP_1nF_50V_C0G_0402","CAP_SMD_0402",169.898200,-88.976200,180.000000,top
"C51","CAP_100pF_10V_NP0_0402","CAP_SMD_0402",171.935000,-89.306400,180.000000,top
"C52","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",177.520600,-92.580700,270.000000,top
"C53","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",175.590200,-92.631500,270.000000,top
"C54","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",173.659800,-92.633800,270.000000,top
"C56","CAP_22uF_25V_X5R_0805","CAP_SMD_0805",181.279800,-114.528600,180.000000,top
"D1","TVS_15V_SOD123FL-2","D_SOD-123F",98.806000,-88.112600,180.000000,top
"D2","TVS_15V_SOD123FL-2","D_SOD-123F",98.374200,-114.808000,180.000000,top
"D3","LED_SMD_0603_YELLOW","LED_0603_1608Metric",110.642400,-104.063800,270.000000,top
"D4","LED_SMD_0603_YELLOW","LED_0603_1608Metric",194.183000,-85.547200,90.000000,top
"D5","LED_SMD_0603_ORANGE","LED_0603_1608Metric",192.532000,-108.737400,90.000000,top
"D6","LED_SMD_0603_ORANGE","LED_0603_1608Metric",181.686200,-88.798400,90.000000,top
"D7","LED_SMD_0603_RED","LED_0603_1608Metric",130.784600,-83.743800,90.000000,top
"D8","LED_SMD_0603_RED","LED_0603_1608Metric",136.423400,-122.301000,270.000000,top
"D9","LED_SMD_0603_GREEN","LED_0603_1608Metric",144.195800,-122.682000,270.000000,top
"D10","LED_SMD_0603_GREEN","LED_0603_1608Metric",138.557000,-83.642200,90.000000,top
"D11","LED_SMD_0603_BLUE","LED_0603_1608Metric",151.917400,-122.783600,270.000000,top
"D12","LED_SMD_0603_BLUE","LED_0603_1608Metric",146.202400,-83.642200,90.000000,top
"D14","TVS_15V_SOD123FL-2","D_SOD-123F",196.443600,-127.533400,270.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",199.872600,-134.061200,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",103.759000,-72.059800,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",200.787000,-71.399400,0.000000,top
"L1","PM2201.122NLT","L_Pulse_PA5001",179.812800,-108.762800,0.000000,top
"Q1","SiR158DP","Vishay_PowerPAK_1212-8_Single",137.820400,-93.827600,0.000000,top
"Q2","SiR158DP","Vishay_PowerPAK_1212-8_Single",138.531600,-97.485200,0.000000,top
"Q3","SiR158DP","Vishay_PowerPAK_1212-8_Single",138.558300,-110.185200,0.000000,top
"Q4","SiR158DP","Vishay_PowerPAK_1212-8_Single",139.420600,-106.553000,0.000000,top
"Q6","SiSS27DN","Vishay_PowerPAK_1212-8_Single",118.110000,-98.628200,90.000000,top
"Q7","SiSS27DN","Vishay_PowerPAK_1212-8_Single",117.449600,-103.861900,270.000000,top
"R1","RES_768K_0603_SMD","RES_SMD_0603",131.292600,-110.363000,90.000000,top
"R2","RES_24K9_0603_SMD","RES_SMD_0603",130.556000,-108.051600,180.000000,top
"R3","RES_750K_0603_SMD","RES_SMD_0603",134.670800,-109.042300,90.000000,top
"R4","RES_10K_0603_SMD","RES_SMD_0603",133.680100,-106.781600,180.000000,top
"R5","RES_47K_0603_SMD","RES_SMD_0603",132.816600,-109.219900,270.000000,top
"R6","RES_768K_0603_SMD","RES_SMD_0603",130.124200,-93.802200,0.000000,top
"R7","RES_24K9_0603_SMD","RES_SMD_0603",130.048000,-95.427800,180.000000,top
"R8","RES_750K_0603_SMD","RES_SMD_0603",133.883400,-94.437200,270.000000,top
"R9","RES_10K_0603_SMD","RES_SMD_0603",133.121400,-96.697800,180.000000,top
"R10","RES_47K_0603_SMD","RES_SMD_0603",132.410200,-94.411800,90.000000,top
"R11","CSNL1206FT3L00","RES_SMD_1206",141.125400,-101.549200,180.000000,top
"R12","RES_1R2_0805_SMD","RES_SMD_0805",126.644400,-91.262200,270.000000,top
"R13","RES_1R2_0805_SMD","RES_SMD_0805",127.254000,-113.182400,90.000000,top
"R22","RES_10K_0603_SMD","RES_SMD_0603",127.508000,-105.968800,180.000000,top
"R23","RES_10K_0603_SMD","RES_SMD_0603",126.365000,-104.444800,180.000000,top
"R27","RES_100K_0603_SMD","RES_SMD_0603",120.751600,-101.396800,90.000000,top
"R28","RES_62K_0402_SMD","RES_SMD_0402",171.119800,-111.480600,270.000000,top
"R29","RES_51K_0402_SMD","RES_SMD_0402",170.154600,-111.937800,270.000000,top
"R30","RES_47K_0603_SMD","RES_SMD_0603",167.995600,-107.391200,270.000000,top
"R31","RES_10K_0603_SMD","RES_SMD_0603",169.468800,-107.391200,90.000000,top
"R32","RES_0R_0402_SMD","RES_SMD_0402",173.001800,-111.709200,180.000000,top
"R33","RES_10K_0603_SMD","RES_SMD_0603",170.992800,-105.003600,90.000000,top
"R35","RES_73K2_0603_SMD","RES_SMD_0603",168.732100,-105.130600,0.000000,top
"R36","RES_73K2_0603_SMD","RES_SMD_0603",167.919400,-93.649800,90.000000,top
"R37","RES_10K_0603_SMD","RES_SMD_0603",166.370000,-91.973400,90.000000,top
"R39","RES_31K6_0603_SMD","RES_SMD_0603",172.516900,-88.061800,180.000000,top
"R40","RES_10K_0603_SMD","RES_SMD_0603",169.468700,-87.706200,180.000000,top
"U1","LTC4421IUHE","QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm",132.673400,-101.777800,270.000000,top
"U2","TPS568215RNN","Texas_RNN0018A",174.955200,-108.889800,90.000000,top
"U3","TPS82130","Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias",170.789600,-91.592400,90.000000,top
